2020000059,1-17-20,22:27,OTHER,ARREST MADE
2020000060,1-18-20,02:41,LIQUOR LAW VIOLATIONS,CLOSED
2020000061,1-18-20,03:16,LIQUOR LAW VIOLATIONS,CLOSED
2020000062,1-18-20,14:29,ASSAULT,PENDING PROSECUTOR REVIEW
2020000063,1-19-20,00:43,POSSESSION,ARREST MADE
2020000065,1-19-20,14:37,THEFT,UNDER INVESTIGATION
2020000068,1-19-20,23:26,POSSESSION,ARREST MADE
2020000070,01-16-20,14:31,THEFT,OTHER
2020000071,1-20-20,16:02,OTHER,UNDER INVESTIGATION
2020000072,1-20-20,21:18,OTHER,UNDER INVESTIGATION
2020000075,01-21-20,14:51,OTHER,UNDER INVESTIGATION
2020000076,01-21-20,15:29,THEFT,INACTIVE
2020000078,1-21-20,16:13,OTHER,UNDER INVESTIGATION
2020000080,01-21-20,21:57,POSSESSION,ARREST MADE
2020000082,1-22-20,13:41,OTHER,UNDER INVESTIGATION
2020000083,1-22-20,14:47,THEFT,INACTIVE
2020000084,1-22-20,22:55,POSSESSION,ARREST MADE
2020000086,1-23-20,04:33,OTHER,ARREST MADE
2020000089,01-23-20,10:50,THEFT,UNDER INVESTIGATION
2020000090,01-23-20,12:53,POSSESSION,ARREST MADE
2020000091,01-23-20,14:29,THEFT,UNDER INVESTIGATION
2020000092,1-23-20,15:29,THEFT,INACTIVE
2020000093,1-23-20,15:51,OTHER,UNDER INVESTIGATION
2020000094,1-23-20,16:21,OTHER,ARREST MADE
2020000097,01-23-20,21:28,POSSESSION,ARREST MADE
2020000101,1-24-20,12:45,OTHER,UNDER INVESTIGATION
2020000104,1-24-20,14:34,THEFT,UNDER INVESTIGATION
2020000108,1-24-20,20:24,OTHER,UNDER INVESTIGATION
2020000111,1-25-20,00:15,LIQUOR LAW VIOLATIONS,CLOSED
2020000112,1-25-20,00:33,LIQUOR LAW VIOLATIONS,CLOSED
2020000114,1-25-20,04:12,LIQUOR LAW VIOLATIONS,CLOSED
2020000119,1-26-20,03:53,LIQUOR LAW VIOLATIONS,CLOSED
2020000122,1-26-20,09:28,SEX OFFENSE,CLOSED
2020000123,01-26-20,20:53,THEFT,INACTIVE
2020000124,1-26-20,21:51,POSSESSION,ARREST MADE
2020000131,01-28-20,10:39,THEFT,UNDER INVESTIGATION
2020000135,01-28-20,16:24,OTHER,UNDER INVESTIGATION
2020000137,01-28-20,17:20,THEFT,UNDER INVESTIGATION
2020000138,01-28-20,19:41,THEFT,UNDER INVESTIGATION
2020000142,1-29-20,13:25,OTHER,ARREST MADE
2020000143,01-29-20,18:02,OTHER,CASE CLOSED
2020000144,1-29-20,19:39,POSSESSION,ARREST MADE
2020000145,1-29-20,21:10,DRUG ABUSE VIOLATIONS,CLOSED
2020000146,1-29-20,22:33,POSSESSION,ARREST MADE
2020000147,1-30-20,00:39,POSSESSION,ARREST MADE
2020000152,01-30-20,14:20,THEFT,UNDER INVESTIGATION
2020000153,01-30-20,17:07,OTHER,UNDER INVESTIGATION
2020000158,01-31-20,04:44,OTHER,CASE CLOSED
2020000160,01-31-20,09:44,THEFT,UNDER INVESTIGATION
2020000161,01-31-20,19:35,POSSESSION,ARREST MADE
2020000163,01-31-20,21:01,PUBLIC INTOXICATION,ARREST MADE
2020000165,02-01-20,01:40,LIQUOR LAW VIOLATIONS,CASE CLOSED
2020000166,02-01-20,02:49,LIQUOR LAW VIOLATIONS,CASE CLOSED
2020000168,02-01-20,19:11,THEFT,UNFOUNDED
2020000169,02-01-20,19:24,THEFT,UNFOUNDED
2020000170,02-01-20,23:29,POSSESSION,ARREST MADE
2020000172,02-02-20,03:56,LIQUOR LAW VIOLATIONS,CASE CLOSED
2020000173,02-02-20,17:13,OTHER,UNDER INVESTIGATION
2020000174,02-03-20,05:51,POSSESSION,ARREST MADE
2020000177,02-03-20,10:39,OTHER,CASE CLOSED
2020000179,02-03-20,14:32,THEFT,UNDER INVESTIGATION
2020000182,02-04-20,10:32,THEFT,UNDER INVESTIGATION
2020000184,02-04-20,16:35,THEFT,UNDER INVESTIGATION
2020000185,02-04-20,17:53,THEFT,UNDER INVESTIGATION
2020000186,02-05-20,03:03,POSSESSION,ARREST MADE
2020000191,02-05-20,15:09,FRAUD,UNDER INVESTIGATION
2020000198,02-06-20,17:35,POSSESSION,ARREST MADE
2020000199,02-06-20,19:28,FRAUD,UNDER INVESTIGATION
2020000201,02-07-20,00:55,PUBLIC INTOXICATION,ARREST MADE
2020000202,02-07-20,01:19,PUBLIC INTOXICATION,ARREST MADE
2020000207,02-07-20,17:29,TREPASSING,ARREST MADE
2020000208,02-07-20,18:28,LIQUOR LAW VIOLATIONS,NOTHING FURTHER
2020000209,02-07-20,19:50,DRUG ABUSE VIOLATIONS,UNDER INVESTIGATION
2020000210,02-07-20,23:49,THEFT,UNDER INVESTIGATION
2020000211,02-08-20,01:45,LIQUOR LAW VIOLATIONS,NOTHING FURTHER
2020000212,02-08-20,07:40,OTHER,ARREST MADE
2020000213,02-08-20,22:41,LIQUOR LAW VIOLATIONS,NOTHING FURTHER
2020000214,02-08-20,23:34,LIQUOR LAW VIOLATIONS,NOTHING FURTHER
2020000215,02-09-20,01:25,LIQUOR LAW VIOLATIONS,NOTHING FURTHER
2020000217,02-09-20,02:20,ASSAULT,UNDER INVESTIGATION
2020000221,02-09-20,22:30,POSSESSION,ARREST MADE
2020009202,1-13-20,22:25,OTHER,UNABLE TO LOCATE
2020026785,02-04-20,07:33,OTHER,UNABLE TO LOCATE
2020029842,02-07-20,12:56,RECKLESS DRIVER,NOTHING FURTHER
2020030097,02-07-20,17:35,OTHER,UNABLE TO LOCATE
2020030372,02-08-20,00:37,OTHER,NOTHING FURTHER
2020031099,02-09-20,00:13,OTHER,UNABLE TO LOCATE
2020031216,02-09-20,04:06,OTHER,UNABLE TO LOCATE
